endTime,artistName,trackName,msPlayed
2021-09-01 11:29,Rod Wave,Rags2Riches (feat. ATR Son Son),161926
2021-09-01 11:35,Snoop Dogg,Who Am I (What's My Name)?,243990
2021-09-01 11:42,B Praak,"Mann Bharryaa 2.0 (From ""Shershaah"")",266005
2021-09-01 11:43,Jasraj Joshi,Shiv Tandav Stotra,22708
2021-09-01 11:46,KAYJAY,Akhiyan da Surma - slowed + reverb,149459
2021-09-02 01:46,The Weeknd,The Knowing - Original,314751
2021-09-02 01:47,jxdn,SO WHAT!,738
2021-09-02 01:47,Jon Bellion,Fashion,1956
2021-09-02 01:50,Dax,Love Hurts,168382
2021-09-02 01:56,ILLENIUM,Good Things Fall Apart vs. Sad Songs (With Said The Sky feat. Annika Wells),366252
2021-09-02 02:01,Pop Smoke,Mood Swings (feat. Lil Tjay),221873
2021-09-02 02:04,StaySolidRocky,Out Da Oven,214046
2021-09-02 02:08,Pop Smoke,Mood Swings (feat. Lil Tjay),213333
2021-09-02 02:11,StaySolidRocky,Out Da Oven,132007
2021-09-02 02:14,Lil Uzi Vert,Paradise,172703
2021-09-02 02:14,J. Cole,a m a r i,637
2021-09-03 01:50,Pop Smoke,Mood Swings (feat. Lil Tjay),213333
2021-09-03 01:53,B Praak,"Mann Bharryaa 2.0 (From ""Shershaah"")",67218
2021-09-03 02:01,Pop Smoke,Mood Swings (feat. Lil Tjay),213333
2021-09-03 02:04,Petit Biscuit,Sunset Lover,851
2021-09-03 02:04,B Praak,"Mann Bharryaa 2.0 (From ""Shershaah"")",174942
2021-09-03 02:04,KAYJAY,Akhiyan da Surma - slowed + reverb,370
2021-09-03 02:04,Anuv Jain,Gul,334
2021-09-03 02:04,Jasleen Royal,"Ranjha (From ""Shershaah"")",535
2021-09-03 02:04,Rival,Seasons,1098
2021-09-03 02:07,KSI,Patience (feat. YUNGBLUD & Polo G),181720
2021-09-03 02:10,KSI,Holiday,193733
2021-09-03 02:13,Tedi Pagg,Tu Hi Das De,172831
2021-09-03 02:17,AP Dhillon,Insane,206060
2021-09-03 02:21,Hozier,Take Me To Church,241688
2021-09-03 02:23,Khalid,8TEEN,59894
2021-09-03 02:26,The Lumineers,Cleopatra,201413
2021-09-03 02:30,The Lumineers,Sleep On The Floor,211851
2021-09-03 02:35,Ro Ransom,See Me Fall (feat. Kensei Abbot),53114
2021-09-03 02:35,Ali Gatie,Can't Let You Go,204156
2021-09-03 12:32,Pop Smoke,Mood Swings (feat. Lil Tjay),210049
2021-09-03 12:34,B Praak,"Mann Bharryaa 2.0 (From ""Shershaah"")",100520
2021-09-03 12:37,Petit Biscuit,Sunset Lover,187617
2021-09-03 12:41,Rival,Seasons,248275
2021-09-03 12:45,Hozier,Take Me To Church,0
2021-09-03 12:45,AP Dhillon,Insane,400
2021-09-03 12:45,Anuv Jain,Gul,215611
2021-09-03 12:45,Tedi Pagg,Tu Hi Das De,940
2021-09-03 12:45,The Lumineers,Cleopatra,0
2021-09-03 12:45,KSI,Patience (feat. YUNGBLUD & Polo G),900
2021-09-03 12:45,KSI,Holiday,937
2021-09-03 12:48,The Lumineers,Sleep On The Floor,211851
2021-09-03 12:49,Ali Gatie,Can't Let You Go,64268
2021-09-07 03:30,Pop Smoke,Mood Swings (feat. Lil Tjay),213333
2021-09-07 03:36,B Praak,"Mann Bharryaa 2.0 (From ""Shershaah"")",266005
2021-09-07 03:36,Jasraj Joshi,Shiv Tandav Stotra,15822
2021-09-08 12:17,Pop Smoke,Mood Swings (feat. Lil Tjay),207730
2021-09-09 02:01,Pop Smoke,Mood Swings (feat. Lil Tjay),213333
2021-09-09 02:06,B Praak,"Mann Bharryaa 2.0 (From ""Shershaah"")",253000
2021-09-09 02:06,KAYJAY,Akhiyan da Surma - slowed + reverb,973
2021-09-09 02:08,Petit Biscuit,Sunset Lover,938
2021-09-09 02:08,Jasleen Royal,"Ranjha (From ""Shershaah"")",157830
2021-09-09 02:09,Anuv Jain,Gul,1553
2021-09-09 02:09,KSI,Patience (feat. YUNGBLUD & Polo G),3223
2021-09-09 02:09,KSI,Holiday,10391
2021-09-09 02:09,Kanye West,Jesus Lord pt 2,1381
2021-09-09 02:09,Rival,Seasons,1122
2021-09-09 02:11,Kanye West,Hurricane,145178
2021-09-09 02:11,Kanye West,Jail,6267
2021-09-09 02:11,Kanye West,Donda Chant,5505
2021-09-09 02:13,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),113232
2021-09-09 02:17,Pop Smoke,Mood Swings (feat. Lil Tjay),213333
2021-09-09 02:18,B Praak,"Mann Bharryaa 2.0 (From ""Shershaah"")",2300
2021-09-09 02:19,Linkin Park,In the End,4336
2021-09-09 02:19,Pop Smoke,Mood Swings (feat. Lil Tjay),100320
2021-09-09 02:24,Linkin Park,New Divide,268613
2021-09-09 02:25,Linkin Park,Papercut,23
2021-09-09 02:25,Linkin Park,Leave Out All The Rest,761
2021-09-09 02:25,Linkin Park,Leave Out All The Rest,2387
2021-09-09 02:25,Linkin Park,Bleed It Out,580
2021-09-09 02:25,Linkin Park,Breaking the Habit,1363
2021-09-09 02:28,Linkin Park,Breaking the Habit,196906
2021-09-09 02:31,Linkin Park,One Step Closer,157333
2021-09-09 02:33,Linkin Park,CASTLE OF GLASS,151270
2021-09-10 01:50,Imagine Dragons,Radioactive,186813
2021-09-10 01:54,James Arthur,Falling Like The Stars,46
2021-09-10 01:54,ILLENIUM,Crawl Outta Love,1193
2021-09-10 01:54,KK,Beete Lamhein,455
2021-09-10 01:54,ILLENIUM,God Damnit (with Call Me Karizma),215874
2021-09-10 01:54,Snoop Dogg,I Wanna Thank Me (feat. Marknoxx),36235
2021-09-10 01:58,Jason Walker,In Another Life (Goodbye),232207
2021-09-10 01:59,Rochak Kohli,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")",36800
2021-09-10 02:02,Alec Benjamin,If We Have Each Other,181522
2021-09-10 02:02,Akhil,"Duniyaa (From ""Luka Chuppi"")",1288
2021-09-10 02:02,NF,The Search,554
2021-09-10 02:05,Travis Scott,HIGHEST IN THE ROOM,175720
2021-09-10 02:08,Linkin Park,One Step Closer,157333
2021-09-10 02:08,Motion Blur,They're Just Ghosts,2779
2021-09-10 02:08,Anson Seabra,Robin Hood,10048
2021-09-10 02:11,Kygo,Forever Yours - Avicii Tribute,193846
2021-09-10 02:15,Fleurie,Hurts Like Hell,20495
2021-09-10 02:15,Bastille,Admit Defeat,185680
2021-09-10 02:20,Eminem,'Till I Collapse,297786
