,artist,track,acousticness,energy,popularity,favorite,prediction
109468,Mahalia,That's OK,0.753,0.419,49,0,1
110376,HoodRich Pablo Juan,Everything Rare (feat. Rich The Kid),0.23,0.6629999999999999,41,0,1
110796,John Prine,"I Just Called to Say I Love You - Recorded at RCA Studio A, Nashville",0.664,0.297,49,0,1
111282,Gigolo Y La Exce,Decibel,0.327,0.467,52,0,1
111548,Silk City,Electricity (with Dua Lipa) - Acoustic,0.649,0.39,64,0,1
113138,MC Kekel,Amor de Verdade,0.138,0.7240000000000001,72,0,1
115046,Michael Ray,"Psycho - Recorded at Sound Stage Studios, Nashville",0.653,0.59,45,0,1
115320,Carlos Rivera,Regrésame Mi Corazón,0.141,0.679,71,0,1
115330,Katy Perry,Waving Through A Window - Bonus Track,0.461,0.556,42,0,1
115800,Thalía,Lindo Pero Bruto,0.204,0.78,73,0,1
115844,Crowder,The Sinner's Cure,0.444,0.664,39,0,1
116525,Joseph Angel,Shame,0.111,0.573,48,0,1
116572,AJ x Deno,London,0.0316,0.6509999999999999,72,0,1
116980,Ellie Goulding,Love Me Like You Do,0.27,0.597,63,0,1
117401,iZaak,Antes de Lamentar (feat. Almighty),0.7,0.534,46,0,1
117829,Melendi,Déjala Que Baile,0.356,0.777,72,0,1
117840,Rae Sremmurd,What's In Your Heart? - From Swaecation,0.0965,0.5670000000000001,52,0,1
117943,Callalily,Ex,0.586,0.381,69,0,1
118004,YNW Melly,Freddy Krueger (feat. Tee Grizzley),0.0918,0.621,78,0,1
118019,Shoffy,Cool Again,0.4429999999999999,0.45,75,0,1
118057,Felix Jaehn,Feel Good,0.115,0.904,71,0,1
118058,Jess Glynne,Thursday - Acoustic,0.795,0.316,59,0,1
118060,CNCO,Mamita,0.107,0.705,72,0,1
118221,Lauv,Come Back Home,0.119,0.473,62,0,1
118271,Felix Jaehn,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),0.6759999999999999,0.573,73,0,1
118442,Josh Groban,Granted,0.575,0.5579999999999999,62,0,1
118500,Felix Jaehn,"Jennie (feat. R. City, Bori)",0.102,0.807,74,0,1
